time,year,prec
1864,6.38,632.9
1865,7.94,694.5
1866,8.22,1031.5
1867,7.59,1078
1868,8.5,862
1869,7.62,827
1870,6.93,817.6
1871,6.38,673
1872,8.32,1089.9
1873,7.9,816.8
1874,7.37,774.3
1875,7.44,971.1
1876,7.82,1223.9
1877,7.9,1038.2
1878,7.16,1109
1879,6.12,928.8
1880,7.88,978.7
1881,7.43,943.2
1882,7.52,1113
1883,7.2,871.6
1884,7.85,679.1
1885,7.5,867.2
1886,7.56,985
1887,6.27,764.6
1888,6.55,1064.3
1889,6.49,941.7
1890,6.42,855.8
1891,6.56,1010.5
1892,7.46,829.1
1893,7.78,681
1894,7.46,845.4
1895,7.14,849
1896,6.73,1074.2
1897,7.81,867.6
1898,8.03,856.8
1899,7.99,785.8
1900,8.11,933.2
1901,6.92,962.8
1902,7.2,997.5
1903,7.41,879.8
1904,8.08,775.9
1905,7.25,1073.1
1906,7.57,736
1907,7.39,876
1908,7,871.8
1909,6.78,911.9
1910,7.43,1206.1
1911,8.36,729.3
1912,7.29,970.9
1913,7.85,908.8
1914,7.35,1049.6
1915,7.45,1026.1
1916,7.75,1164.4
1917,6.77,978.9
1918,7.73,901.4
1919,7.14,944
1920,8.28,758.8
1921,8.55,598.7
1922,7.13,1266.9
1923,8.04,1083.4
1924,7.24,851
1925,7.59,921.2
1926,8.23,918.7
1927,7.87,1073.8
1928,8.51,948.6
1929,7.48,760.9
1930,8.43,1207.6
1931,7.12,1025.6
1932,7.52,901.1
1933,7.28,854.2
1934,8.51,804.7
1935,7.77,1092
1936,8.03,1055.1
1937,8.24,1023.2
1938,7.83,929.3
1939,7.52,1193.7
1940,6.85,1119.8
1941,7.07,810.8
1942,7.57,790.9
1943,8.73,740
1944,7.69,944.8
1945,8.48,767.3
1946,8.18,929.4
1947,9.12,732.5
1948,8.56,886.8
1949,8.92,636
1950,8.59,1012
1951,8.22,1074.5
1952,8.2,1126.4
1953,8.15,678.3
1954,7.61,1035.6
1955,7.72,1012.2
1956,6.61,968.4
1957,8.06,820.4
1958,8.08,1048.8
1959,8.73,842.5
1960,8.12,1106.9
1961,9,846.6
1962,7.27,759.6
1963,6.99,920.8
1964,8.2,792.8
1965,7.31,1255.8
1966,8.38,1033.2
1967,8.26,872.6
1968,7.84,1061.3
1969,7.57,859.8
1970,7.65,1052.6
1971,7.88,772
1972,7.57,802.2
1973,7.68,872.8
1974,8.35,913.8
1975,8.17,978.9
1976,8.27,769.2
1977,8.37,1140.9
1978,7.5,995.4
1979,8.04,1080.2
1980,7.39,980.1
1981,8.1,1147.2
1982,8.78,1089.5
1983,8.74,932.2
1984,7.86,916.5
1985,7.71,889.1
1986,8.06,1063.4
1987,8.04,1105.9
1988,8.95,1111.3
1989,9.07,752.8
1990,9.25,1073.6
1991,8.39,855.3
1992,9.09,1008.2
1993,8.67,1037.5
1994,10.04,1027.3
1995,8.88,1157.8
1996,7.98,958.8
1997,9.13,912.5
1998,9.04,898.1
1999,8.99,1312.1
2000,9.72,980.8
2001,9.09,1247.4
2002,9.67,1201.7
2003,9.76,737.1
2004,8.98,966
2005,8.69,838.4
2006,9.4,1086.8
2007,9.61,1129.2
2008,9.18,1040.6
2009,9.5,927.2
2010,8.43,891
2011,10.04,752.4
2012,9.3,1109.4
2013,8.7,1040.4
2014,10.18,995.8
2015,10.1,754.2
2016,9.53,1058.8
2017,9.74,854.7
2018,10.58,841.6
2019,10.08,917.1
2020,10.43,841.7
2021,9.14,1013
2022,10.99,814.1
